,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
0,0.95,0.85,0,1.0,True,0.4590871111111111,28,134.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
1,0.95,0.85,1,1.0580540442902124,True,0.4985644444444444,23,116.66666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
2,0.95,0.85,2,1.1005017442629852,True,0.3353582222222222,34,106.07142857142857,25,"(0.6, 0.4)",5,0.0,4,5,True,False
3,0.95,0.85,3,1.1030599510311498,True,0.40639377777777774,28,130.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
4,0.95,0.85,4,1.0242470225800155,True,0.5565804444444444,32,132.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
5,0.95,0.86,5,1.0,True,0.32291644444444445,20,85.93333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
6,0.95,0.86,6,1.0,True,0.2909502222222222,22,55.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
7,0.95,0.86,7,1.0,True,0.4626222222222222,21,206.35999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
8,0.95,0.86,8,1.1022792649949578,True,0.49479022222222224,21,111.03333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
9,0.95,0.86,9,1.0,True,0.4828355555555556,31,105.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
10,0.95,0.87,10,1.0,True,0.517527111111111,19,134.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
11,0.95,0.87,11,1.0685777445752538,True,0.4016737777777778,15,75.64,25,"(0.6, 0.4)",5,0.0,4,5,True,False
12,0.95,0.87,12,1.0,True,0.5300035555555556,28,226.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
13,0.95,0.87,13,1.0,False,0.37536088888888886,18,57.900000000000006,25,"(0.6, 0.4)",5,0.0,4,5,True,False
14,0.95,0.87,14,1.0,True,0.3876257777777778,19,114.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
15,0.95,0.88,15,1.0,True,0.5772275555555555,35,200.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
16,0.95,0.88,16,1.0,True,0.39431022222222223,14,106.96,25,"(0.6, 0.4)",5,0.0,4,5,True,False
17,0.95,0.88,17,1.0,True,0.600872,25,147.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
18,0.95,0.88,18,1.0,True,0.581224,18,228.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
19,0.95,0.88,19,1.0,True,0.46039288888888885,22,206.28571428571428,25,"(0.6, 0.4)",5,0.0,4,5,True,False
20,0.95,0.89,20,1.0,True,0.5065555555555555,26,219.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
21,0.95,0.89,21,1.0130864261556096,True,0.40513333333333335,18,74.81666666666666,25,"(0.6, 0.4)",5,0.0,4,5,True,False
22,0.95,0.89,22,1.1721397655869066,True,0.33587999999999996,25,74.36666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
23,0.95,0.89,23,1.0,True,0.45476799999999995,23,209.56,25,"(0.6, 0.4)",5,0.0,4,5,True,False
24,0.95,0.89,24,1.0,True,0.49656355555555554,23,210.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
25,0.95,0.9,25,1.0,True,0.6256444444444444,29,94.13333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
26,0.95,0.9,26,1.1415148304449634,True,0.4962631111111111,40,108.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
27,0.95,0.9,27,1.0,True,0.50312,35,211.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
28,0.95,0.9,28,1.0,True,0.5860542222222223,26,94.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
29,0.95,0.9,29,1.0,True,0.561448,21,231.46666666666667,25,"(0.6, 0.4)",5,0.0,4,5,True,False
30,0.95,0.9099999999999999,30,1.0,True,0.5874675555555555,25,233.26666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
31,0.95,0.9099999999999999,31,1.2147512017572386,True,0.7216391111111111,36,193.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
32,0.95,0.9099999999999999,32,1.0,True,0.585239111111111,20,95.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
33,0.95,0.9099999999999999,33,1.0,True,0.4851848888888889,24,80.75999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
34,0.95,0.9099999999999999,34,1.0,True,0.5612408888888889,35,235.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
35,0.95,0.9199999999999999,35,1.0,True,0.5940151111111112,19,133.13333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
36,0.95,0.9199999999999999,36,1.6274675325383496,True,0.6513715555555555,31,248.20000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
37,0.95,0.9199999999999999,37,1.0,True,0.6676568888888889,37,241.26666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
38,0.95,0.9199999999999999,38,1.0,True,0.716328,21,111.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
39,0.95,0.9199999999999999,39,1.2395115291984289,True,0.742056,46,194.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
40,0.95,0.9299999999999999,40,1.0,True,0.6403635555555556,21,240.53333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
41,0.95,0.9299999999999999,41,1.0,True,0.6071235555555555,31,228.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
42,0.95,0.9299999999999999,42,1.0,True,0.7170097777777777,47,197.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
43,0.95,0.9299999999999999,43,1.0,True,0.7211484444444445,24,135.26666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
44,0.95,0.9299999999999999,44,1.0,True,0.6934782222222222,23,228.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
45,0.95,0.94,45,1.0,True,0.526952,20,149.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
46,0.95,0.94,46,1.0,True,0.606296,16,233.89999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
47,0.95,0.94,47,1.0,True,0.5378711111111111,13,129.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
48,0.95,0.94,48,1.0,True,0.5282382222222223,24,226.46666666666664,25,"(0.6, 0.4)",5,0.0,4,5,True,False
49,0.95,0.94,49,1.248799027215161,True,0.6695022222222222,28,240.86666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
50,0.95,0.95,50,1.0,True,0.7326275555555555,17,247.26666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
51,0.95,0.95,51,1.0,True,0.5709128888888889,33,232.07999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
52,0.95,0.95,52,1.0,True,0.7300622222222222,19,270.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
53,0.95,0.95,53,1.0,True,0.6137928888888888,24,240.26666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
54,0.95,0.95,54,1.0,True,0.8069591111111112,23,172.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
55,0.95,0.96,55,1.0,True,0.722576,36,245.66666666666666,25,"(0.6, 0.4)",5,0.0,4,5,True,False
56,0.95,0.96,56,1.0,True,0.69828,22,235.26666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
57,0.95,0.96,57,1.0,True,0.7395724444444445,17,138.93333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
58,0.95,0.96,58,1.0,True,0.615032,27,242.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
