,homophily,pop_weights,Run,total_avg_cluster_size,height,width,density,fixed_areas_pc
0,1,"(0.5, 0.5)",0,7.469207031610598,100,100,0.97,0.0
1,1,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",1,2.9857802144092465,100,100,0.97,0.0
2,1,"(0.25, 0.25, 0.25, 0.25)",2,2.4151314789750544,100,100,0.97,0.0
3,1,"(0.2, 0.2, 0.2, 0.2, 0.2)",3,2.151410951728094,100,100,0.97,0.0
4,1,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",4,1.9967888379850631,100,100,0.97,0.0
5,1,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",5,1.9406523363970745,100,100,0.97,0.0
6,1,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",6,1.8574240971367213,100,100,0.97,0.0
7,1,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",7,1.807213122390316,100,100,0.97,0.0
8,2,"(0.5, 0.5)",8,8.105102121387588,100,100,0.97,0.0
9,2,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",9,6.285680774022084,100,100,0.97,0.0
10,2,"(0.25, 0.25, 0.25, 0.25)",10,6.217047677577156,100,100,0.97,0.0
11,2,"(0.2, 0.2, 0.2, 0.2, 0.2)",11,6.251838624007414,100,100,0.97,0.0
12,2,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",12,6.26102316997859,100,100,0.97,0.0
13,2,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",13,6.542628523275845,100,100,0.97,0.0
14,2,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",14,6.407520058900012,100,100,0.97,0.0
15,2,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",15,6.6103577417485555,100,100,0.97,0.0
16,3,"(0.5, 0.5)",16,49.23088235294118,100,100,0.97,0.0
17,3,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",17,28.280098848519902,100,100,0.97,0.0
18,3,"(0.25, 0.25, 0.25, 0.25)",18,21.07343001881114,100,100,0.97,0.0
19,3,"(0.2, 0.2, 0.2, 0.2, 0.2)",19,21.24319351029188,100,100,0.97,0.0
20,3,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",20,18.285939070517667,100,100,0.97,0.0
21,3,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",21,17.188370743034053,100,100,0.97,0.0
22,3,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",22,18.07406267431079,100,100,0.97,0.0
23,3,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",23,17.61170653363092,100,100,0.97,0.0
24,4,"(0.5, 0.5)",24,169.80243161094225,100,100,0.97,0.0
25,4,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",25,109.9988455988456,100,100,0.97,0.0
26,4,"(0.25, 0.25, 0.25, 0.25)",26,85.10140878974003,100,100,0.97,0.0
27,4,"(0.2, 0.2, 0.2, 0.2, 0.2)",27,66.02531580158124,100,100,0.97,0.0
28,4,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",28,127.68113415578999,100,100,0.97,0.0
29,4,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",29,158.89905149051492,100,100,0.97,0.0
30,4,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",30,10.849894490697416,100,100,0.97,0.0
31,4,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",31,1.5209211102983435,100,100,0.97,0.0
32,5,"(0.5, 0.5)",32,730.3557692307693,100,100,0.97,0.0
33,5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",33,35.77640754307421,100,100,0.97,0.0
34,5,"(0.25, 0.25, 0.25, 0.25)",34,2.0544986682494186,100,100,0.97,0.0
35,5,"(0.2, 0.2, 0.2, 0.2, 0.2)",35,1.646576450481453,100,100,0.97,0.0
36,5,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",36,1.5044374526052247,100,100,0.97,0.0
37,5,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",37,1.4049321656477576,100,100,0.97,0.0
38,5,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",38,1.3223432957102141,100,100,0.97,0.0
39,5,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",39,1.2774289971163586,100,100,0.97,0.0
40,6,"(0.5, 0.5)",40,58.599999999999994,100,100,0.97,0.0
41,6,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",41,2.8397967527132106,100,100,0.97,0.0
