,size,homophily,Run,half_time,percolation_system,segregation_coefficient,stopping_step,density,pop_weights,fixed_areas_pc,cluster_threshold,alpha,stopping_threshold,stats,server
0,10,1,0,1.0,True,0.26364583333333336,7,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
1,10,1,1,1.0,True,0.3220138888888889,6,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
2,10,1,2,1.1217843070819948,True,0.6220138888888889,7,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
3,10,2,3,1.4160415893695393,False,0.20979166666666665,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
4,10,2,4,1.0,True,0.3160763888888889,7,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
5,10,2,5,1.0,True,0.19583333333333333,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
6,10,3,6,1.0,True,0.5214236111111111,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
7,10,3,7,1.0,True,0.6118750000000001,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
8,10,3,8,1.0069628165575288,True,0.6394791666666666,12,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
9,10,4,9,1.0,True,0.5721875,15,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
10,10,4,10,1.1982563907133457,True,0.6129861111111111,14,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
11,10,4,11,1.0,True,0.6292013888888889,10,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
12,10,5,12,1.0,True,0.9092013888888889,20,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
13,10,5,13,1.0,True,0.7961111111111111,11,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
14,10,5,14,1.0,True,0.6044097222222222,13,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
15,10,6,15,1.0,True,0.6654513888888889,15,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
16,10,6,16,1.0,False,0.308125,13,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
17,10,6,17,1.0,True,0.3025347222222222,19,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
18,10,7,18,1.0,True,0.4980555555555556,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
19,10,7,19,1.0,True,0.25506944444444446,13,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
20,10,7,20,1.0,True,0.3213194444444445,6,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
21,10,8,21,1.0,False,0.19895833333333335,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
22,10,8,22,1.0,True,0.3990972222222222,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
23,10,8,23,1.0,True,0.21559027777777776,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
24,30,1,24,1.0,True,0.14511917009602193,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
25,30,1,25,1.0,False,0.04999399862825789,7,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
26,30,1,26,1.0,True,0.10833376200274349,7,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
27,30,2,27,1.0,True,0.0806224279835391,11,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
28,30,2,28,1.0,True,0.20169795953360767,12,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
29,30,2,29,1.0,False,0.07751157407407408,16,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
30,30,3,30,1.0,True,0.3561685528120713,11,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
31,30,3,31,1.0,True,0.39360896776406035,15,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
32,30,3,32,1.0,False,0.07957004458161865,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
33,30,4,33,1.0,True,0.49542524005486965,18,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
34,30,4,34,1.0,True,0.5311805555555555,16,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
35,30,4,35,1.0,True,0.5656948731138546,21,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
36,30,5,36,1.0,True,0.7113293038408779,30,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
37,30,5,37,1.0,True,0.6318715706447188,31,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
38,30,5,38,1.0,True,0.6849682784636488,34,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
39,30,6,39,1.9701947169700098,True,0.42643475651577506,50,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
40,30,6,40,1.0,True,0.47910836762688613,18,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
41,30,6,41,1.0,True,0.5772775205761317,43,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
42,30,7,42,1.0,False,0.07331061385459534,17,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
43,30,7,43,1.0,False,0.05746399176954733,23,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
44,30,7,44,1.0,False,0.1048036694101509,14,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
45,30,8,45,1.0,False,0.10292009602194788,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
46,30,8,46,1.0,True,0.15298096707818928,11,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
47,30,8,47,1.0,False,0.10922153635116598,9,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
48,50,1,48,1.0,True,0.08992877777777777,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
49,50,1,49,1.0,False,0.04361377777777777,8,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
50,50,1,50,1.0,True,0.06933372222222221,10,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
51,50,2,51,1.0,True,0.2111453888888889,22,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
52,50,2,52,1.0,True,0.1625571111111111,16,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
53,50,2,53,1.0,True,0.10005316666666667,27,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
54,50,3,54,1.0,True,0.31065950000000003,15,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
55,50,3,55,1.0,True,0.2948836111111111,15,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
56,50,3,56,1.0,True,0.36805683333333333,11,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
57,50,4,57,1.0,True,0.4811213888888889,17,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
58,50,4,58,1.0,True,0.5034408888888889,20,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
59,50,4,59,1.0,True,0.5206603888888889,24,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
60,50,5,60,1.2365931565848816,True,0.6032287777777777,36,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
61,50,5,61,1.635944958953358,True,0.5537859444444444,40,0.95,"(0.6, 0.4)",0.0,4,0.96,5,True,False
