,size,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,pop_weights,fixed_areas_pc,cluster_threshold,alpha,homophily,stopping_threshold,stats,server
0,10,0.7,0,1.0,False,0.23840277777777777,18,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
1,10,0.7,1,1.0,False,0.1360763888888889,18,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
2,10,0.7,2,1.0,False,0.10270833333333335,10,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
3,10,0.7,3,1.0,False,0.13402777777777777,11,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
4,10,0.7,4,1.0,False,0.31909722222222225,9,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
5,10,0.7625,5,1.0,True,0.3520138888888889,17,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
6,10,0.7625,6,1.0,False,0.1139236111111111,10,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
7,10,0.7625,7,1.0,True,0.54125,16,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
8,10,0.7625,8,1.0,False,0.21947916666666667,7,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
9,10,0.7625,9,1.0,True,0.3505902777777778,23,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
10,10,0.825,10,1.0,False,0.28565972222222225,10,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
11,10,0.825,11,1.0,True,0.39656250000000004,12,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
12,10,0.825,12,1.0,True,0.5293055555555556,18,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
13,10,0.825,13,1.0,True,0.44059027777777776,14,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
14,10,0.825,14,1.0,True,0.5451388888888888,25,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
15,10,0.8875,15,1.4556133611781887,True,0.5378125,12,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
16,10,0.8875,16,1.0,True,0.6974305555555556,15,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
17,10,0.8875,17,1.0,True,0.7062847222222222,30,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
18,10,0.8875,18,1.0,True,0.6029513888888889,14,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
19,10,0.8875,19,1.0,True,0.7080555555555555,15,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
20,10,0.95,20,1.0,True,0.7302777777777778,14,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
21,10,0.95,21,1.0,True,0.8865624999999999,15,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
22,10,0.95,22,1.0,True,0.7665624999999999,12,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
23,10,0.95,23,1.0,True,0.5296180555555555,13,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
24,10,0.95,24,1.0,True,0.7647222222222223,15,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
25,30,0.7,25,1.0,False,0.13051054526748973,25,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
26,30,0.7,26,1.0,False,0.11750042866941016,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
27,30,0.7,27,1.0,False,0.07665980795610425,14,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
28,30,0.7,28,1.0,False,0.07151663237311386,23,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
29,30,0.7,29,1.0,False,0.060856052812071335,11,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
30,30,0.7625,30,1.0,True,0.1422067901234568,14,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
31,30,0.7625,31,1.024647652643265,True,0.21831061385459533,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
32,30,0.7625,32,1.0,False,0.18843878600823044,22,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
33,30,0.7625,33,1.0,False,0.08025462962962963,19,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
34,30,0.7625,34,1.2328742296469573,True,0.22098979766803842,30,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
35,30,0.825,35,1.1772813661598067,True,0.33130829903978054,22,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
36,30,0.825,36,1.4843028599040993,True,0.39091606652949246,35,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
37,30,0.825,37,1.1001580571548304,True,0.47400891632373116,32,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
38,30,0.825,38,1.0,True,0.3933654835390946,28,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
39,30,0.825,39,1.0,True,0.22410536694101507,17,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
40,30,0.8875,40,1.0,True,0.6432124485596709,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
41,30,0.8875,41,1.2066901750590575,True,0.4548233882030178,35,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
42,30,0.8875,42,1.0,True,0.44349965706447186,34,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
43,30,0.8875,43,1.5658746855679848,True,0.4816786694101509,25,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
44,30,0.8875,44,1.1023995852583164,True,0.5702421982167352,43,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
45,30,0.95,45,1.0,True,0.7449575617283951,37,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
46,30,0.95,46,1.7291532503983555,True,0.5894020061728396,21,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
47,30,0.95,47,1.0,True,0.6713365912208504,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
48,30,0.95,48,1.0,True,0.7497959533607681,27,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
49,30,0.95,49,1.0,True,0.5958736282578875,31,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
50,50,0.7,50,1.0,False,0.04626333333333333,33,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
51,50,0.7,51,1.0,False,0.1015037222222222,32,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
