,density,size,Run,boolean_percolation,cluster_coefficient,stopping_step,pop_weights,fixed_areas_pc,cluster_threshold,alpha,homophily,stopping_threshold
0,0.88,65,0,True,0.35896130698816175,17,"(0.6, 0.4)",0.0,4,0.8,6,5
1,0.88,65,1,True,0.42894961661006265,21,"(0.6, 0.4)",0.0,4,0.8,6,5
2,0.88,65,2,True,0.367530217974005,18,"(0.6, 0.4)",0.0,4,0.8,6,5
3,0.88,65,3,False,0.14937581939630187,17,"(0.6, 0.4)",0.0,4,0.8,6,5
4,0.88,65,4,True,0.4256184034950534,19,"(0.6, 0.4)",0.0,4,0.8,6,5
5,0.88,65,5,True,0.47650123128275157,21,"(0.6, 0.4)",0.0,4,0.8,6,5
6,0.88,65,6,True,0.4588709156619944,18,"(0.6, 0.4)",0.0,4,0.8,6,5
7,0.88,65,7,True,0.5100843418959031,15,"(0.6, 0.4)",0.0,4,0.8,6,5
8,0.88,65,8,True,0.29780954214955124,22,"(0.6, 0.4)",0.0,4,0.8,6,5
9,0.88,65,9,True,0.2971201405179557,18,"(0.6, 0.4)",0.0,4,0.8,6,5
10,0.88,65,10,True,0.46305597376375707,17,"(0.6, 0.4)",0.0,4,0.8,6,5
11,0.88,65,11,True,0.47601906640368175,19,"(0.6, 0.4)",0.0,4,0.8,6,5
12,0.88,65,12,True,0.5501305393135161,20,"(0.6, 0.4)",0.0,4,0.8,6,5
13,0.88,65,13,True,0.3765949099198985,23,"(0.6, 0.4)",0.0,4,0.8,6,5
14,0.88,65,14,True,0.26550276406443907,14,"(0.6, 0.4)",0.0,4,0.8,6,5
15,0.88,65,15,True,0.3040326552525005,15,"(0.6, 0.4)",0.0,4,0.8,6,5
16,0.88,65,16,True,0.17774914510462986,21,"(0.6, 0.4)",0.0,4,0.8,6,5
17,0.88,65,17,True,0.501754646001346,20,"(0.6, 0.4)",0.0,4,0.8,6,5
18,0.88,65,18,True,0.4793459029212329,19,"(0.6, 0.4)",0.0,4,0.8,6,5
19,0.88,65,19,True,0.40791607825745285,23,"(0.6, 0.4)",0.0,4,0.8,6,5
20,0.88,70,20,True,0.39150680850571523,21,"(0.6, 0.4)",0.0,4,0.8,6,5
21,0.88,70,21,True,0.4286676269147115,19,"(0.6, 0.4)",0.0,4,0.8,6,5
22,0.88,70,22,True,0.4603693918043408,20,"(0.6, 0.4)",0.0,4,0.8,6,5
23,0.88,70,23,True,0.42408553727613496,21,"(0.6, 0.4)",0.0,4,0.8,6,5
24,0.88,70,24,True,0.3820450680272109,21,"(0.6, 0.4)",0.0,4,0.8,6,5
